abr.,area,K,B,IM,UM,LM,DM,C,SM,EX,KI,KG,CS,L,CI,CG,KF,FC,BF
xq11,349,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9334,0.35,0.1,0.056
xq12,198,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9334,0.35,0.1,0.056
xq13,167,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9334,0.35,0.1,0.056
xq14,384,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9334,0.35,0.1,0.056
xq10,234,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9334,0.35,0.1,0.056
dgw110,302,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.1,0.9,0.15,0,0.6807,0.9994,0.35,0.1,0.056
dgw100,213,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.1,0.9,0.15,0,0.6807,0.9994,0.35,0.1,0.056
xh222,295,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.1,0.9,0.15,0,0.6807,0.9994,0.35,0.1,0.056
xh220,112,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.1,0.9,0.15,0,0.6807,0.9994,0.35,0.1,0.056
xh221,97,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.1,0.9,0.15,0,0.6807,0.9994,0.35,0.1,0.056
xh211,360,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.1,0.9,0.15,0,0.6807,0.9994,0.35,0.1,0.056
xh210,113,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.1,0.9,0.15,0,0.6807,0.9994,0.35,0.1,0.056
xh200,171,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.1,0.9,0.15,0,0.6807,0.9994,0.35,0.1,0.056
xh120,113,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.1,0.9,0.15,0,0.6807,0.9994,0.35,0.1,0.056
xh100,117,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.1,0.9,0.15,0,0.6807,0.9994,0.35,0.1,0.056
xh000,169,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.1,0.9,0.15,0,0.6807,0.9994,0.35,0.1,0.056
ggz12,197,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9994,0.35,0.1,0.056
ggz13,94,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9994,0.35,0.1,0.056
ggz10,141,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9334,0.35,0.1,0.056
ggz11,192,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9994,0.35,0.1,0.056
jjs-xq,156,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9334,0.35,0.1,0.056
dgw-jjs,32,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9334,0.35,0.1,0.056
xh-dgw,160,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9334,0.35,0.1,0.056
btw-xh,198,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9334,0.35,0.1,0.056
mhh100,241,0.213,0.7,0.05,0.697,0.199,0.152,0.48,0.15,0.86,0.33,0.66,0.15,0,0.6807,0.9334,0.35,0.1,0.056
